Date,Period,Day-Ahead Price
2013-01-20,42,48.07
2013-01-20,43,48.07
2013-01-20,44,35.95
2013-01-20,45,35.95
2013-01-20,46,44.9
2013-01-20,47,44.9
2013-01-21,0,41.95
2013-01-21,1,41.95
2013-01-21,2,38.36
2013-01-21,3,38.36
2013-01-21,4,35.55
2013-01-21,5,35.55
2013-01-21,6,32.02
2013-01-21,7,32.02
2013-01-21,8,32.02
2013-01-21,9,32.02
2013-01-21,10,36.61
2013-01-21,11,36.61
2013-01-21,12,51.61
2013-01-21,13,51.61
2013-01-21,14,52.93
2013-01-21,15,52.93
2013-01-21,16,53.13
2013-01-21,17,53.13
2013-01-21,18,58.41
2013-01-21,19,58.41
2013-01-21,20,60.73
2013-01-21,21,60.73
2013-01-21,22,63.1
2013-01-21,23,63.1
2013-01-21,24,64.93
2013-01-21,25,64.93
2013-01-21,26,60.07
2013-01-21,27,60.07
2013-01-21,28,55.68
2013-01-21,29,55.68
2013-01-21,30,47.05
2013-01-21,31,47.05
2013-01-21,32,56.37
2013-01-21,33,56.37
2013-01-21,34,125.91
2013-01-21,35,125.91
2013-01-21,36,70.08
2013-01-21,37,70.08
2013-01-21,38,57.96
2013-01-21,39,57.96
2013-01-21,40,57.93
2013-01-21,41,57.93
2013-01-21,42,54.09
2013-01-21,43,54.09
2013-01-21,44,48.79
2013-01-21,45,48.79
2013-01-21,46,45.02
2013-01-21,47,45.02
2013-01-22,0,45
2013-01-22,1,45
2013-01-22,2,41.51
2013-01-22,3,41.51
2013-01-22,4,37.88
2013-01-22,5,37.88
2013-01-22,6,34
2013-01-22,7,34
2013-01-22,8,34.47
2013-01-22,9,34.47
2013-01-22,10,41.91
2013-01-22,11,41.91
2013-01-22,12,54.22
2013-01-22,13,54.22
2013-01-22,14,53.95
2013-01-22,15,53.95
2013-01-22,16,52.78
2013-01-22,17,52.78
2013-01-22,18,55.94
2013-01-22,19,55.94
2013-01-22,20,56.92
2013-01-22,21,56.92
2013-01-22,22,55.06
2013-01-22,23,55.06
2013-01-22,24,54.38
2013-01-22,25,54.38
2013-01-22,26,53.37
2013-01-22,27,53.37
2013-01-22,28,51.9
2013-01-22,29,51.9
2013-01-22,30,52.22
2013-01-22,31,52.22
2013-01-22,32,64.12
2013-01-22,33,64.12
2013-01-22,34,100.03
2013-01-22,35,100.03
2013-01-22,36,64.57
2013-01-22,37,64.57
2013-01-22,38,55.01
2013-01-22,39,55.01
2013-01-22,40,53.41
2013-01-22,41,53.41
2013-01-22,42,51.12
2013-01-22,43,51.12
2013-01-22,44,47.53
2013-01-22,45,47.53
2013-01-22,46,46.05
2013-01-22,47,46.05
2013-01-23,0,46.07
2013-01-23,1,46.07
2013-01-23,2,44.91
2013-01-23,3,44.91
2013-01-23,4,37.99
2013-01-23,5,37.99
2013-01-23,6,37.01
2013-01-23,7,37.01
2013-01-23,8,37.52
2013-01-23,9,37.52
2013-01-23,10,41.93
2013-01-23,11,41.93
2013-01-23,12,52.51
2013-01-23,13,52.51
2013-01-23,14,53.53
2013-01-23,15,53.53
2013-01-23,16,56.38
2013-01-23,17,56.38
2013-01-23,18,55.72
2013-01-23,19,55.72
2013-01-23,20,56.43
