Date,Period,SSP,SBP
2013-01-14,13,32.89541,51.12
2013-01-14,14,37.07281,51.8
2013-01-14,15,56.27,64.67863
2013-01-14,16,57.66,71.12143
2013-01-14,17,57.58,71.33814
2013-01-14,18,59.76,70.24086
2013-01-14,19,66.94,100.9382
2013-01-14,20,70.46,125.9116
2013-01-14,21,67.53,96.99773
2013-01-14,22,67.26,85.1641
2013-01-14,23,62.04,73.94745
2013-01-14,24,62.66,68.5247
2013-01-14,25,62.14,67.98362
2013-01-14,26,60.93,64.83784
2013-01-14,27,55.99,67.44595
2013-01-14,28,54.5,63.80947
2013-01-14,29,54.62,66.77154
2013-01-14,30,54.56,60.62069
2013-01-14,31,58.56639,58.56639
2013-01-14,32,61.20616,61.20616
2013-01-14,33,41.25464,65.61
2013-01-14,34,41.69171,77.32
2013-01-14,35,41.88676,79.94
2013-01-14,36,41.54849,77.94
2013-01-14,37,41.6602,75.59
2013-01-14,38,41.71107,73.85
2013-01-14,39,42.0059,53.41
2013-01-14,40,42.01475,52.41
2013-01-14,41,51.74,60.31858
2013-01-14,42,42.16,51.28
2013-01-14,43,50.43,59.49039
2013-01-14,44,48.9,55.01912
2013-01-14,45,49.04,57.2542
2013-01-14,46,40.38854,49.93
2013-01-14,47,40.18906,41.84
2013-01-14,48,31.31277,38.99
2013-01-15,1,31.46752,38.36
2013-01-15,2,35,41.02
2013-01-15,3,35.83123,41.22
2013-01-15,4,40.87,41.75
2013-01-15,5,39.35,47.85434
2013-01-15,6,39.91,41.75
2013-01-15,7,33.68,41.75
2013-01-15,8,33.03,44.50501
2013-01-15,9,33.26,41.75
2013-01-15,10,31.5,33.17
2013-01-15,11,41.1,49.39
2013-01-15,12,41.13,57.1222
2013-01-15,13,46.25,61.20749
2013-01-15,14,47.97,62.08949
2013-01-15,15,54.31,84.57081
2013-01-15,16,54.22,116.31503
2013-01-15,17,55,109.52513
2013-01-15,18,55,80.80339
2013-01-15,19,52.8,72.18959
2013-01-15,20,71.89397,71.89397
2013-01-15,21,70.51052,70.51052
2013-01-15,22,69.99816,69.99816
2013-01-15,23,65.7596,65.7596
2013-01-15,24,64.13,64.78
2013-01-15,25,62.09,64.14
2013-01-15,26,60.77,63.14
2013-01-15,27,41.45298,54.49
2013-01-15,28,41.5,51.16
2013-01-15,29,41.5,51.99
2013-01-15,30,41.05055,51.36
2013-01-15,31,40.50253,51.35
2013-01-15,32,40.9224,50.51
2013-01-15,33,40.85946,54.24
2013-01-15,34,41.81862,74.41
2013-01-15,35,40.39347,105.9
2013-01-15,36,38.9037,97.53
2013-01-15,37,40.73242,80.67
2013-01-15,38,41.00852,74.19
2013-01-15,39,42.2,54.81
2013-01-15,40,41.06906,50.53
2013-01-15,41,40.64231,53.3
2013-01-15,42,40.81996,52.72
2013-01-15,43,41.50936,50
2013-01-15,44,49.23,53.52546
2013-01-15,45,48.59,56.39709
2013-01-15,46,40.72363,49.35
2013-01-15,47,34.28774,39.29
2013-01-15,48,30.98625,38.43
2013-01-16,1,32.47441,39.3
2013-01-16,2,40.00047,40.52
2013-01-16,3,32,40.19
2013-01-16,4,39.01,46.21
2013-01-16,5,37.72,42
2013-01-16,6,38.11,44.08873
2013-01-16,7,36.1,42
2013-01-16,8,35.82,35.82
2013-01-16,9,35.6,35.6
2013-01-16,10,29.48428,35.87
2013-01-16,11,41.32,47.25
2013-01-16,12,41.55,52.6326
2013-01-16,13,46.23,51.25704
2013-01-16,14,47.09,63.30444
2013-01-16,15,51.12,65.45
2013-01-16,16,50.12,73.16068
2013-01-16,17,54.02,84.95526
2013-01-16,18,52.02,105.85648
2013-01-16,19,57.45,121.49634
2013-01-16,20,60.07,128.2057
2013-01-16,21,60.6,112.85498
2013-01-16,22,65.04,114.51308
2013-01-16,23,65.5,87.83367
2013-01-16,24,65.92,83.74866
2013-01-16,25,64.44,84.75163
2013-01-16,26,63.22,71.69
2013-01-16,27,41.39732,58.61
2013-01-16,28,41.50768,57.64
2013-01-16,29,57.57,61.55146
2013-01-16,30,41.51089,57.24
2013-01-16,31,41.17077,58.47
2013-01-16,32,41.59938,58
2013-01-16,33,41.18836,65.89
2013-01-16,34,72.44,129.90099
2013-01-16,35,41.2413,88.1
2013-01-16,36,41.20076,83.12
2013-01-16,37,41.93603,77.37
2013-01-16,38,42.10108,74.47
2013-01-16,39,42.2,57.54
2013-01-16,40,41.73939,55.4
2013-01-16,41,41.79507,53.94
2013-01-16,42,51.56,60.44374
2013-01-16,43,52.32,64.84872
2013-01-16,44,51.29,60.79719
2013-01-16,45,50.89,60.66617
2013-01-16,46,48.44,59.61855
2013-01-16,47,41.38,54.91
2013-01-16,48,42.26,42.26572
2013-01-17,1,45.94,57.29077
2013-01-17,2,47.85,62.91042
2013-01-17,3,47.61,66.61979
2013-01-17,4,51.73,61.45034
2013-01-17,5,49.6,57.06891
2013-01-17,6,49.72,55.52709
2013-01-17,7,47.16,49.32661
2013-01-17,8,33,46.37
2013-01-17,9,46.72,58.19771
2013-01-17,10,46.43,53.28906
2013-01-17,11,46.18,51.38359
2013-01-17,12,46.72,59.17524
